HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
Barcelona,Malaga,2,1,H,2,0,H,2000
La Coruna,Ath Bilbao,2,0,H,0,0,D,2000
Real Madrid,Valencia,2,1,H,0,0,D,2000
Sociedad,Santander,2,2,D,0,0,D,2000
Zaragoza,Espanol,1,2,A,0,0,D,2000
Las Palmas,Alaves,0,3,A,0,1,A,2000
Mallorca,Valladolid,1,1,D,1,0,H,2000
Numancia,Oviedo,1,0,H,0,0,D,2000
Osasuna,Celta,0,2,A,0,0,D,2000
Villarreal,Vallecano,1,5,A,0,3,A,2000
Ath Bilbao,Barcelona,3,1,H,1,1,D,2000
Malaga,Real Madrid,3,3,D,1,1,D,2000
Santander,La Coruna,0,3,A,0,1,A,2000
Valencia,Mallorca,4,0,H,1,0,H,2000
Valladolid,Numancia,2,0,H,1,0,H,2000
Alaves,Villarreal,0,1,A,0,0,D,2000
Celta,Sociedad,4,1,H,3,0,H,2000
Espanol,Osasuna,1,2,A,0,0,D,2000
Oviedo,Las Palmas,2,2,D,0,1,A,2000
Vallecano,Zaragoza,0,0,D,0,0,D,2000
Barcelona,Santander,3,1,H,1,0,H,2000
Las Palmas,Valladolid,1,1,D,0,1,A,2000
Real Madrid,Ath Bilbao,4,1,H,2,0,H,2000
Sociedad,La Coruna,1,1,D,1,0,H,2000
Zaragoza,Alaves,2,2,D,1,2,A,2000
Celta,Espanol,1,0,H,1,0,H,2000
Mallorca,Malaga,0,1,A,0,0,D,2000
Numancia,Valencia,0,3,A,0,0,D,2000
Osasuna,Vallecano,2,2,D,1,1,D,2000
Villarreal,Oviedo,1,0,H,1,0,H,2000
Santander,Real Madrid,0,0,D,0,0,D,2000
Alaves,Osasuna,2,0,H,0,0,D,2000
Ath Bilbao,Mallorca,2,1,H,1,1,D,2000
La Coruna,Barcelona,2,0,H,0,0,D,2000
Malaga,Numancia,1,3,A,1,2,A,2000
Oviedo,Zaragoza,2,1,H,2,0,H,2000
Vallecano,Celta,3,0,H,1,0,H,2000
Valencia,Las Palmas,5,1,H,2,0,H,2000
Valladolid,Villarreal,0,0,D,0,0,D,2000
Espanol,Vallecano,0,0,D,0,0,D,2000
Las Palmas,Malaga,2,1,H,0,0,D,2000
Real Madrid,La Coruna,3,0,H,2,0,H,2000
Sociedad,Barcelona,0,6,A,0,6,A,2000
Villarreal,Valencia,1,1,D,0,0,D,2000
Celta,Alaves,1,1,D,1,1,D,2000
Mallorca,Santander,2,1,H,0,1,A,2000
Numancia,Ath Bilbao,0,0,D,0,0,D,2000
Osasuna,Oviedo,0,0,D,0,0,D,2000
Zaragoza,Valladolid,0,0,D,0,0,D,2000
Espanol,Sociedad,1,2,A,1,2,A,2000
Barcelona,Real Madrid,2,0,H,1,0,H,2000
La Coruna,Mallorca,1,1,D,0,0,D,2000
Valencia,Zaragoza,1,0,H,0,0,D,2000
Alaves,Espanol,1,0,H,0,0,D,2000
Ath Bilbao,Las Palmas,0,3,A,0,1,A,2000
Malaga,Villarreal,2,1,H,2,0,H,2000
Oviedo,Celta,3,1,H,2,0,H,2000
Vallecano,Sociedad,4,1,H,2,1,H,2000
Santander,Numancia,4,2,H,2,1,H,2000
Valladolid,Osasuna,1,1,D,1,1,D,2000
Las Palmas,Santander,2,1,H,1,0,H,2000
Mallorca,Barcelona,2,0,H,1,0,H,2000
Numancia,La Coruna,1,2,A,0,2,A,2000
Villarreal,Ath Bilbao,0,0,D,0,0,D,2000
Zaragoza,Malaga,1,1,D,0,0,D,2000
Celta,Valladolid,2,1,H,1,0,H,2000
Espanol,Oviedo,2,0,H,1,0,H,2000
Osasuna,Valencia,1,2,A,1,1,D,2000
Sociedad,Real Madrid,1,4,A,0,2,A,2000
Vallecano,Alaves,0,1,A,0,1,A,2000
La Coruna,Las Palmas,4,0,H,1,0,H,2000
Alaves,Sociedad,0,1,A,0,0,D,2000
Ath Bilbao,Zaragoza,1,2,A,0,1,A,2000
Barcelona,Numancia,1,1,D,0,0,D,2000
Malaga,Osasuna,3,1,H,2,1,H,2000
Oviedo,Vallecano,4,1,H,2,1,H,2000
Real Madrid,Mallorca,0,2,A,0,0,D,2000
Santander,Villarreal,3,1,H,2,0,H,2000
Valencia,Celta,1,0,H,0,0,D,2000
Valladolid,Espanol,1,1,D,0,1,A,2000
Celta,Malaga,1,0,H,0,0,D,2000
Espanol,Valencia,1,0,H,0,0,D,2000
Las Palmas,Barcelona,0,1,A,0,0,D,2000
Numancia,Real Madrid,3,1,H,2,1,H,2000
Villarreal,La Coruna,3,2,H,1,1,D,2000
Alaves,Oviedo,4,0,H,2,0,H,2000
Osasuna,Ath Bilbao,1,1,D,0,1,A,2000
Sociedad,Mallorca,0,1,A,0,0,D,2000
Vallecano,Valladolid,2,1,H,1,0,H,2000
Zaragoza,Santander,2,0,H,1,0,H,2000
La Coruna,Zaragoza,2,0,H,1,0,H,2000
Ath Bilbao,Celta,2,1,H,1,1,D,2000
Barcelona,Villarreal,1,2,A,1,1,D,2000
Malaga,Espanol,0,0,D,0,0,D,2000
Mallorca,Numancia,2,1,H,2,0,H,2000
Oviedo,Sociedad,1,0,H,0,0,D,2000
Real Madrid,Las Palmas,5,1,H,2,1,H,2000
Santander,Osasuna,0,0,D,0,0,D,2000
Valencia,Vallecano,2,2,D,0,1,A,2000
Valladolid,Alaves,2,1,H,0,0,D,2000
Alaves,Valencia,1,1,D,0,0,D,2000
Las Palmas,Mallorca,1,0,H,0,0,D,2000
Osasuna,La Coruna,1,1,D,1,1,D,2000
Villarreal,Real Madrid,0,1,A,0,0,D,2000
Celta,Santander,1,1,D,1,0,H,2000
Espanol,Ath Bilbao,2,1,H,1,0,H,2000
Oviedo,Valladolid,4,1,H,1,0,H,2000
Sociedad,Numancia,4,1,H,3,0,H,2000
Vallecano,Malaga,4,2,H,2,1,H,2000
Zaragoza,Barcelona,3,1,H,1,0,H,2000
Mallorca,Villarreal,2,1,H,0,1,A,2000
Ath Bilbao,Vallecano,4,2,H,3,1,H,2000
Barcelona,Osasuna,2,0,H,0,0,D,2000
La Coruna,Celta,1,0,H,0,0,D,2000
Malaga,Alaves,3,1,H,2,0,H,2000
Numancia,Las Palmas,0,1,A,0,0,D,2000
Santander,Espanol,1,2,A,0,1,A,2000
Valencia,Oviedo,2,0,H,0,0,D,2000
Valladolid,Sociedad,2,1,H,2,0,H,2000
Celta,Barcelona,3,3,D,3,1,H,2000
Espanol,La Coruna,0,2,A,0,0,D,2000
Osasuna,Real Madrid,2,3,A,1,1,D,2000
Vallecano,Santander,4,1,H,1,1,D,2000
Valladolid,Valencia,0,0,D,0,0,D,2000
Alaves,Ath Bilbao,2,1,H,0,1,A,2000
Oviedo,Malaga,3,2,H,1,2,A,2000
Sociedad,Las Palmas,1,1,D,0,0,D,2000
Villarreal,Numancia,0,0,D,0,0,D,2000
Zaragoza,Mallorca,1,1,D,1,0,H,2000
Las Palmas,Villarreal,1,5,A,0,2,A,2000
Numancia,Zaragoza,1,1,D,1,1,D,2000
Valencia,Sociedad,2,0,H,0,0,D,2000
Ath Bilbao,Oviedo,4,0,H,0,0,D,2000
Barcelona,Espanol,4,2,H,2,0,H,2000
La Coruna,Vallecano,1,1,D,1,0,H,2000
Malaga,Valladolid,3,1,H,1,0,H,2000
Mallorca,Osasuna,1,1,D,0,1,A,2000
Real Madrid,Celta,3,0,H,2,0,H,2000
Santander,Alaves,2,1,H,0,0,D,2000
Alaves,La Coruna,3,1,H,2,1,H,2000
Espanol,Real Madrid,1,2,A,1,2,A,2000
Sociedad,Villarreal,0,2,A,0,1,A,2000
Vallecano,Barcelona,2,2,D,1,1,D,2000
Zaragoza,Las Palmas,3,1,H,0,0,D,2000
Celta,Mallorca,2,2,D,1,1,D,2000
Osasuna,Numancia,2,0,H,0,0,D,2000
Oviedo,Santander,1,0,H,1,0,H,2000
Valencia,Malaga,2,0,H,1,0,H,2000
Valladolid,Ath Bilbao,0,0,D,0,0,D,2000
Real Madrid,Vallecano,3,1,H,2,0,H,2000
Ath Bilbao,Valencia,1,1,D,1,0,H,2000
Barcelona,Alaves,3,2,H,1,0,H,2000
La Coruna,Oviedo,3,0,H,1,0,H,2000
Las Palmas,Osasuna,3,2,H,0,0,D,2000
Malaga,Sociedad,3,0,H,2,0,H,2000
Mallorca,Espanol,3,2,H,1,2,A,2000
Numancia,Celta,4,2,H,2,1,H,2000
Santander,Valladolid,2,2,D,2,1,H,2000
Villarreal,Zaragoza,1,1,D,1,0,H,2000
Malaga,Ath Bilbao,2,1,H,2,0,H,2000
Alaves,Real Madrid,1,3,A,1,1,D,2000
Celta,Las Palmas,0,1,A,0,1,A,2000
Espanol,Numancia,2,0,H,2,0,H,2000
Osasuna,Villarreal,1,0,H,1,0,H,2000
Oviedo,Barcelona,2,3,A,0,2,A,2000
Sociedad,Zaragoza,1,1,D,1,0,H,2000
Vallecano,Mallorca,2,2,D,2,1,H,2000
Valencia,Santander,1,0,H,1,0,H,2000
Valladolid,La Coruna,3,1,H,0,0,D,2000
Barcelona,Valladolid,3,1,H,0,0,D,2000
La Coruna,Valencia,2,0,H,0,0,D,2000
Las Palmas,Espanol,1,0,H,1,0,H,2000
Mallorca,Alaves,4,3,H,1,0,H,2000
Numancia,Vallecano,0,2,A,0,1,A,2000
Real Madrid,Oviedo,4,0,H,1,0,H,2000
Sociedad,Ath Bilbao,0,2,A,0,1,A,2000
Santander,Malaga,0,1,A,0,1,A,2000
Villarreal,Celta,2,0,H,1,0,H,2000
Zaragoza,Osasuna,4,2,H,3,2,H,2000
Valencia,Barcelona,0,1,A,0,1,A,2000
Alaves,Numancia,0,2,A,0,1,A,2000
Ath Bilbao,Santander,3,1,H,1,0,H,2000
Celta,Zaragoza,1,1,D,1,1,D,2000
Espanol,Villarreal,2,1,H,1,0,H,2000
Malaga,La Coruna,1,3,A,1,1,D,2000
Osasuna,Sociedad,1,1,D,0,0,D,2000
Oviedo,Mallorca,1,1,D,0,1,A,2000
Vallecano,Las Palmas,1,1,D,1,1,D,2000
Valladolid,Real Madrid,2,2,D,1,1,D,2000
Real Madrid,Zaragoza,3,0,H,0,0,D,2000
Ath Bilbao,La Coruna,2,2,D,1,2,A,2000
Espanol,Zaragoza,5,0,H,3,0,H,2000
Malaga,Barcelona,0,0,D,0,0,D,2000
Alaves,Las Palmas,1,0,H,0,0,D,2000
Celta,Osasuna,1,0,H,0,0,D,2000
Oviedo,Numancia,3,0,H,1,0,H,2000
Vallecano,Villarreal,0,1,A,0,0,D,2000
Santander,Sociedad,1,4,A,1,2,A,2000
Valencia,Real Madrid,0,1,A,0,0,D,2000
Valladolid,Mallorca,2,0,H,2,0,H,2000
Barcelona,Ath Bilbao,7,0,H,6,0,H,2000
La Coruna,Santander,2,1,H,2,1,H,2000
Las Palmas,Oviedo,1,0,H,0,0,D,2000
Mallorca,Valencia,2,2,D,1,0,H,2000
Numancia,Valladolid,0,0,D,0,0,D,2000
Osasuna,Espanol,1,3,A,0,3,A,2000
Real Madrid,Malaga,4,3,H,3,2,H,2000
Sociedad,Celta,2,2,D,1,0,H,2000
Villarreal,Alaves,2,0,H,1,0,H,2000
Zaragoza,Vallecano,6,1,H,2,0,H,2000
Ath Bilbao,Real Madrid,1,0,H,1,0,H,2000
La Coruna,Sociedad,4,1,H,3,0,H,2000
Espanol,Celta,0,1,A,0,0,D,2000
Vallecano,Osasuna,2,1,H,1,0,H,2000
Valencia,Numancia,3,0,H,2,0,H,2000
Alaves,Zaragoza,1,0,H,1,0,H,2000
Malaga,Mallorca,0,1,A,0,1,A,2000
Oviedo,Villarreal,1,3,A,1,0,H,2000
Santander,Barcelona,4,0,H,1,0,H,2000
Valladolid,Las Palmas,1,0,H,0,0,D,2000
Barcelona,La Coruna,2,3,A,2,1,H,2000
Las Palmas,Valencia,0,2,A,0,1,A,2000
Real Madrid,Santander,1,0,H,0,0,D,2000
Celta,Vallecano,1,1,D,1,1,D,2000
Mallorca,Ath Bilbao,1,0,H,1,0,H,2000
Numancia,Malaga,3,2,H,1,0,H,2000
Osasuna,Alaves,0,1,A,0,0,D,2000
Sociedad,Espanol,2,1,H,1,1,D,2000
Villarreal,Valladolid,2,1,H,1,0,H,2000
Zaragoza,Oviedo,5,2,H,4,1,H,2000
La Coruna,Real Madrid,2,2,D,0,2,A,2000
Alaves,Celta,2,2,D,1,0,H,2000
Ath Bilbao,Numancia,3,1,H,1,0,H,2000
Barcelona,Sociedad,3,0,H,1,0,H,2000
Malaga,Las Palmas,2,1,H,0,1,A,2000
Oviedo,Osasuna,2,3,A,2,0,H,2000
Vallecano,Espanol,1,1,D,0,1,A,2000
Santander,Mallorca,2,1,H,2,1,H,2000
Valencia,Villarreal,3,1,H,1,1,D,2000
Valladolid,Zaragoza,2,0,H,1,0,H,2000
Mallorca,La Coruna,2,1,H,1,0,H,2000
Real Madrid,Barcelona,2,2,D,2,1,H,2000
Sociedad,Vallecano,2,0,H,1,0,H,2000
Zaragoza,Valencia,1,1,D,1,0,H,2000
Celta,Oviedo,1,0,H,0,0,D,2000
Espanol,Alaves,0,0,D,0,0,D,2000
Las Palmas,Ath Bilbao,0,0,D,0,0,D,2000
Numancia,Santander,1,0,H,1,0,H,2000
Osasuna,Valladolid,2,1,H,0,0,D,2000
Villarreal,Malaga,1,2,A,0,1,A,2000
Ath Bilbao,Villarreal,1,1,D,0,1,A,2000
La Coruna,Numancia,4,1,H,0,0,D,2000
Valencia,Osasuna,1,0,H,0,0,D,2000
Alaves,Vallecano,4,2,H,1,1,D,2000
Barcelona,Mallorca,1,1,D,0,0,D,2000
Malaga,Zaragoza,2,0,H,1,0,H,2000
Oviedo,Espanol,2,2,D,1,0,H,2000
Real Madrid,Sociedad,4,0,H,2,0,H,2000
Santander,Las Palmas,2,1,H,0,0,D,2000
Valladolid,Celta,1,2,A,1,0,H,2000
Las Palmas,La Coruna,2,0,H,2,0,H,2000
Celta,Valencia,3,2,H,0,1,A,2000
Espanol,Valladolid,1,0,H,0,0,D,2000
Mallorca,Real Madrid,1,0,H,0,0,D,2000
Numancia,Barcelona,1,1,D,0,1,A,2000
Osasuna,Malaga,3,3,D,1,2,A,2000
Sociedad,Alaves,1,1,D,1,0,H,2000
Vallecano,Oviedo,0,2,A,0,1,A,2000
Villarreal,Santander,4,2,H,2,0,H,2000
Zaragoza,Ath Bilbao,2,2,D,2,1,H,2000
La Coruna,Villarreal,4,2,H,2,0,H,2000
Malaga,Celta,1,4,A,1,2,A,2000
Real Madrid,Numancia,1,0,H,1,0,H,2000
Valencia,Espanol,0,1,A,0,0,D,2000
Ath Bilbao,Osasuna,0,1,A,0,0,D,2000
Barcelona,Las Palmas,4,1,H,2,1,H,2000
Mallorca,Sociedad,1,1,D,1,0,H,2000
Oviedo,Alaves,3,3,D,2,1,H,2000
Santander,Zaragoza,2,1,H,1,1,D,2000
Valladolid,Vallecano,1,3,A,1,1,D,2000
Vallecano,Valencia,1,4,A,0,1,A,2000
Alaves,Valladolid,4,2,H,2,0,H,2000
Celta,Ath Bilbao,2,1,H,1,0,H,2000
Espanol,Malaga,1,2,A,1,0,H,2000
Las Palmas,Real Madrid,0,1,A,0,0,D,2000
Numancia,Mallorca,0,2,A,0,0,D,2000
Osasuna,Santander,1,1,D,1,1,D,2000
Sociedad,Oviedo,3,0,H,0,0,D,2000
Villarreal,Barcelona,4,4,D,3,1,H,2000
Zaragoza,La Coruna,2,1,H,1,0,H,2000
Barcelona,Zaragoza,4,4,D,0,2,A,2000
La Coruna,Osasuna,2,1,H,0,1,A,2000
Real Madrid,Villarreal,4,0,H,1,0,H,2000
Valencia,Alaves,1,2,A,1,1,D,2000
Ath Bilbao,Espanol,0,1,A,0,1,A,2000
Malaga,Vallecano,1,1,D,1,1,D,2000
Mallorca,Las Palmas,2,1,H,1,1,D,2000
Numancia,Sociedad,3,3,D,1,1,D,2000
Santander,Celta,3,0,H,2,0,H,2000
Valladolid,Oviedo,1,0,H,0,0,D,2000
Celta,La Coruna,2,1,H,0,0,D,2000
Alaves,Malaga,1,2,A,0,1,A,2000
Espanol,Santander,3,0,H,1,0,H,2000
Las Palmas,Numancia,1,1,D,0,1,A,2000
Osasuna,Barcelona,3,1,H,2,1,H,2000
Oviedo,Valencia,0,0,D,0,0,D,2000
Sociedad,Valladolid,3,1,H,2,0,H,2000
Vallecano,Ath Bilbao,1,2,A,0,1,A,2000
Villarreal,Mallorca,2,2,D,2,0,H,2000
Zaragoza,Real Madrid,2,3,A,1,2,A,2000
Real Madrid,Osasuna,1,1,D,0,1,A,2000
Valencia,Valladolid,1,0,H,0,0,D,2000
Ath Bilbao,Alaves,2,0,H,0,0,D,2000
Barcelona,Celta,1,1,D,1,1,D,2000
La Coruna,Espanol,1,0,H,1,0,H,2000
Las Palmas,Sociedad,2,1,H,1,0,H,2000
Malaga,Oviedo,2,2,D,1,1,D,2000
Mallorca,Zaragoza,2,1,H,2,0,H,2000
Numancia,Villarreal,1,3,A,0,0,D,2000
Santander,Vallecano,1,1,D,1,1,D,2000
Celta,Real Madrid,3,0,H,2,0,H,2000
Espanol,Barcelona,0,0,D,0,0,D,2000
Sociedad,Valencia,1,2,A,0,0,D,2000
Alaves,Santander,5,1,H,2,0,H,2000
Osasuna,Mallorca,1,0,H,0,0,D,2000
Oviedo,Ath Bilbao,5,0,H,3,0,H,2000
Vallecano,La Coruna,1,1,D,0,0,D,2000
Valladolid,Malaga,0,0,D,0,0,D,2000
Villarreal,Las Palmas,2,1,H,1,0,H,2000
Zaragoza,Numancia,3,1,H,2,0,H,2000
La Coruna,Alaves,2,1,H,1,1,D,2000
Villarreal,Sociedad,1,3,A,1,1,D,2000
Ath Bilbao,Valladolid,1,1,D,1,1,D,2000
Barcelona,Vallecano,5,1,H,1,1,D,2000
Las Palmas,Zaragoza,2,1,H,0,1,A,2000
Malaga,Valencia,3,0,H,2,0,H,2000
Mallorca,Celta,2,0,H,0,0,D,2000
Numancia,Osasuna,1,0,H,1,0,H,2000
Real Madrid,Espanol,2,2,D,1,0,H,2000
Santander,Oviedo,2,0,H,1,0,H,2000
Valencia,Ath Bilbao,1,0,H,0,0,D,2000
Alaves,Barcelona,0,1,A,0,1,A,2000
Celta,Numancia,1,1,D,0,0,D,2000
Espanol,Mallorca,0,1,A,0,1,A,2000
Osasuna,Las Palmas,3,3,D,1,1,D,2000
Oviedo,La Coruna,2,3,A,0,2,A,2000
Sociedad,Malaga,4,0,H,2,0,H,2000
Vallecano,Real Madrid,0,1,A,0,1,A,2000
Valladolid,Santander,1,1,D,1,0,H,2000
Zaragoza,Villarreal,0,0,D,0,0,D,2000
Las Palmas,Celta,0,1,A,0,0,D,2000
Real Madrid,Alaves,5,0,H,2,0,H,2000
Ath Bilbao,Malaga,1,3,A,0,1,A,2000
Barcelona,Oviedo,0,1,A,0,0,D,2000
La Coruna,Valladolid,1,2,A,0,1,A,2000
Mallorca,Vallecano,4,0,H,3,0,H,2000
Numancia,Espanol,2,1,H,1,1,D,2000
Santander,Valencia,1,1,D,0,0,D,2000
Villarreal,Osasuna,2,0,H,1,0,H,2000
Zaragoza,Sociedad,1,1,D,1,1,D,2000
Alaves,Mallorca,2,4,A,1,1,D,2000
Ath Bilbao,Sociedad,1,3,A,0,2,A,2000
Celta,Villarreal,1,0,H,0,0,D,2000
Espanol,Las Palmas,3,2,H,3,1,H,2000
Malaga,Santander,2,1,H,1,0,H,2000
Osasuna,Zaragoza,1,0,H,0,0,D,2000
Oviedo,Real Madrid,1,1,D,1,1,D,2000
Vallecano,Numancia,2,1,H,1,1,D,2000
Valencia,La Coruna,0,1,A,0,0,D,2000
Valladolid,Barcelona,2,2,D,0,1,A,2000
Las Palmas,Vallecano,1,0,H,1,0,H,2000
Numancia,Alaves,2,1,H,1,0,H,2000
Santander,Ath Bilbao,3,0,H,0,0,D,2000
Villarreal,Espanol,4,0,H,2,0,H,2000
Barcelona,Valencia,3,2,H,2,1,H,2000
La Coruna,Malaga,4,0,H,1,0,H,2000
Mallorca,Oviedo,4,2,H,1,0,H,2000
Real Madrid,Valladolid,2,1,H,1,0,H,2000
Sociedad,Osasuna,0,1,A,0,1,A,2000
Zaragoza,Celta,1,1,D,0,0,D,2000
Valencia,Real Madrid,1,0,H,1,0,H,2001
La Coruna,Valladolid,4,0,H,1,0,H,2001
Espanol,Zaragoza,2,1,H,1,1,D,2001
Malaga,Betis,3,2,H,1,1,D,2001
Mallorca,Las Palmas,0,3,A,0,1,A,2001
Osasuna,Celta,0,3,A,0,1,A,2001
Sociedad,Ath Bilbao,1,3,A,1,1,D,2001
Vallecano,Villarreal,1,2,A,1,2,A,2001
Sevilla,Barcelona,1,2,A,0,1,A,2001
Tenerife,Alaves,0,2,A,0,1,A,2001
Ath Bilbao,Mallorca,0,1,A,0,0,D,2001
Las Palmas,La Coruna,0,1,A,0,0,D,2001
Real Madrid,Malaga,1,1,D,1,0,H,2001
Villarreal,Osasuna,3,0,H,1,0,H,2001
Alaves,Sociedad,2,0,H,1,0,H,2001
Barcelona,Vallecano,1,1,D,0,0,D,2001
Betis,Espanol,2,0,H,2,0,H,2001
Celta,Tenerife,3,0,H,2,0,H,2001
Valladolid,Valencia,1,1,D,1,0,H,2001
Zaragoza,Sevilla,1,1,D,0,0,D,2001
Betis,Real Madrid,3,1,H,1,1,D,2001
La Coruna,Ath Bilbao,1,2,A,0,1,A,2001
Mallorca,Alaves,0,0,D,0,0,D,2001
Osasuna,Barcelona,0,0,D,0,0,D,2001
Espanol,Sevilla,2,3,A,1,1,D,2001
Malaga,Valladolid,1,2,A,0,1,A,2001
Sociedad,Celta,0,0,D,0,0,D,2001
Vallecano,Zaragoza,1,2,A,1,0,H,2001
Tenerife,Villarreal,2,0,H,1,0,H,2001
Valencia,Las Palmas,1,0,H,0,0,D,2001
Alaves,La Coruna,2,3,A,0,1,A,2001
Barcelona,Tenerife,2,0,H,1,0,H,2001
Las Palmas,Malaga,0,0,D,0,0,D,2001
Real Madrid,Espanol,5,1,H,3,0,H,2001
Villarreal,Sociedad,1,0,H,0,0,D,2001
Ath Bilbao,Valencia,2,2,D,0,1,A,2001
Celta,Mallorca,2,0,H,1,0,H,2001
Sevilla,Vallecano,2,1,H,0,1,A,2001
Valladolid,Betis,0,2,A,0,0,D,2001
Zaragoza,Osasuna,0,1,A,0,1,A,2001
Espanol,Vallecano,3,1,H,1,0,H,2001
Malaga,Ath Bilbao,1,2,A,0,1,A,2001
Real Madrid,Valladolid,2,2,D,2,1,H,2001
Sociedad,Barcelona,0,2,A,0,1,A,2001
Betis,Las Palmas,1,0,H,0,0,D,2001
La Coruna,Celta,2,2,D,0,1,A,2001
Mallorca,Villarreal,0,1,A,0,1,A,2001
Osasuna,Sevilla,1,0,H,0,0,D,2001
Tenerife,Zaragoza,0,0,D,0,0,D,2001
Valencia,Alaves,0,0,D,0,0,D,2001
Alaves,Malaga,1,0,H,0,0,D,2001
Ath Bilbao,Betis,0,0,D,0,0,D,2001
Barcelona,Mallorca,3,0,H,3,0,H,2001
Las Palmas,Real Madrid,4,2,H,2,2,D,2001
Vallecano,Osasuna,0,1,A,0,1,A,2001
Sevilla,Tenerife,2,0,H,1,0,H,2001
Valladolid,Espanol,0,1,A,0,1,A,2001
Villarreal,La Coruna,1,1,D,1,0,H,2001
Zaragoza,Sociedad,3,2,H,1,1,D,2001
Celta,Valencia,1,1,D,0,1,A,2001
La Coruna,Barcelona,2,1,H,0,1,A,2001
Real Madrid,Ath Bilbao,2,0,H,0,0,D,2001
Betis,Alaves,1,0,H,0,0,D,2001
Espanol,Osasuna,1,1,D,0,0,D,2001
Malaga,Celta,2,2,D,2,0,H,2001
Mallorca,Zaragoza,0,1,A,0,0,D,2001
Sociedad,Sevilla,3,3,D,2,0,H,2001
Tenerife,Vallecano,3,1,H,1,1,D,2001
Valencia,Villarreal,1,0,H,1,0,H,2001
Valladolid,Las Palmas,1,0,H,1,0,H,2001
Alaves,Real Madrid,0,0,D,0,0,D,2001
Sevilla,Mallorca,2,2,D,2,2,D,2001
Zaragoza,La Coruna,1,2,A,0,1,A,2001
Ath Bilbao,Valladolid,1,4,A,0,2,A,2001
Barcelona,Valencia,2,2,D,1,1,D,2001
Celta,Betis,3,1,H,2,0,H,2001
Las Palmas,Espanol,2,0,H,0,0,D,2001
Osasuna,Tenerife,0,2,A,0,0,D,2001
Vallecano,Sociedad,2,1,H,1,1,D,2001
Villarreal,Malaga,1,2,A,1,1,D,2001
Betis,Villarreal,1,1,D,0,1,A,2001
La Coruna,Sevilla,1,0,H,1,0,H,2001
Las Palmas,Ath Bilbao,1,1,D,0,1,A,2001
Malaga,Barcelona,1,1,D,0,0,D,2001
Sociedad,Osasuna,2,1,H,0,1,A,2001
Espanol,Tenerife,2,0,H,2,0,H,2001
Mallorca,Vallecano,3,0,H,1,0,H,2001
Real Madrid,Celta,1,1,D,1,1,D,2001
Valencia,Zaragoza,2,0,H,1,0,H,2001
Valladolid,Alaves,1,3,A,0,2,A,2001
Barcelona,Betis,3,0,H,1,0,H,2001
Osasuna,Mallorca,4,0,H,2,0,H,2001
Vallecano,La Coruna,2,1,H,0,0,D,2001
Tenerife,Sociedad,0,1,A,0,1,A,2001
Villarreal,Real Madrid,2,3,A,1,0,H,2001
Alaves,Las Palmas,1,0,H,1,0,H,2001
Ath Bilbao,Espanol,1,1,D,1,0,H,2001
Celta,Valladolid,1,1,D,0,0,D,2001
Sevilla,Valencia,1,1,D,0,1,A,2001
Zaragoza,Malaga,0,2,A,0,1,A,2001
Ath Bilbao,Alaves,2,1,H,2,0,H,2001
Betis,Zaragoza,0,1,A,0,0,D,2001
La Coruna,Osasuna,5,1,H,4,1,H,2001
Espanol,Sociedad,1,2,A,1,1,D,2001
Las Palmas,Celta,4,2,H,3,1,H,2001
Malaga,Sevilla,1,3,A,1,1,D,2001
Mallorca,Tenerife,2,0,H,1,0,H,2001
Real Madrid,Barcelona,2,0,H,1,0,H,2001
Valencia,Vallecano,2,1,H,1,1,D,2001
Valladolid,Villarreal,1,0,H,1,0,H,2001
Sevilla,Betis,0,0,D,0,0,D,2001
Alaves,Espanol,2,1,H,1,1,D,2001
Barcelona,Valladolid,4,0,H,2,0,H,2001
Celta,Ath Bilbao,2,3,A,1,0,H,2001
Osasuna,Valencia,0,0,D,0,0,D,2001
Sociedad,Mallorca,1,2,A,0,0,D,2001
Vallecano,Malaga,3,0,H,2,0,H,2001
Tenerife,La Coruna,3,1,H,1,1,D,2001
Villarreal,Las Palmas,2,0,H,1,0,H,2001
Zaragoza,Real Madrid,2,1,H,1,0,H,2001
La Coruna,Sociedad,3,1,H,1,1,D,2001
Las Palmas,Barcelona,0,0,D,0,0,D,2001
Real Madrid,Sevilla,2,1,H,1,0,H,2001
Alaves,Celta,1,0,H,1,0,H,2001
Ath Bilbao,Villarreal,0,0,D,0,0,D,2001
Betis,Vallecano,2,0,H,0,0,D,2001
Espanol,Mallorca,2,1,H,1,1,D,2001
Malaga,Osasuna,2,1,H,2,0,H,2001
Valencia,Tenerife,0,0,D,0,0,D,2001
Valladolid,Zaragoza,2,0,H,1,0,H,2001
Barcelona,Ath Bilbao,1,2,A,0,1,A,2001
Celta,Espanol,4,1,H,2,1,H,2001
Mallorca,La Coruna,4,1,H,2,1,H,2001
Osasuna,Betis,1,2,A,0,0,D,2001
Sociedad,Valencia,2,0,H,1,0,H,2001
Vallecano,Real Madrid,0,3,A,0,2,A,2001
Sevilla,Valladolid,4,0,H,1,0,H,2001
Tenerife,Malaga,1,0,H,0,0,D,2001
Villarreal,Alaves,1,0,H,1,0,H,2001
Zaragoza,Las Palmas,2,1,H,1,0,H,2001
Alaves,Barcelona,2,0,H,1,0,H,2001
Espanol,La Coruna,1,0,H,0,0,D,2001
